Prefixo,Nexthop,as-path,Origem Prefixo
190.90.68.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18678', '262589'])"
177.155.162.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['52752', '267563'])"
43.175.18.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['132203', '139341'])"
58.68.234.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4808', '4847'])"
103.184.148.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['6315', '400171'])"
103.218.216.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['134543', '134772'])"
168.102.0.0/19,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['33491', '400718'])"
2405:1c0:6782::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['55303', '58810'])"
72.246.208.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['18678', '262589'])"
161.186.93.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['17347', '23503'])"
185.59.219.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['206146', '205544'])"
2610:a1:30fc::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['397234', '397223', '397228', '397241', '397215'])"
158.28.253.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['4291100673', '1766'])"
67.202.180.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['13368', '35986'])"
185.18.36.0/22,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['56833', '197524'])"
212.80.16.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['34837', '44889'])"
185.224.229.0/24,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['65000', '61280'])"
2401:fd80:405::/48,187.16.223.133,"['28186', '3356', '1299', '7473', '3758', '55415']","set(['137502', '43519'])"
